Section,Item ID,Item,Previous status,Live verdict 2026-08-21,Evidence,LLM excluded?,Notes
Routes & APIs,PAGE-035,Page /portal,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-006,Page /assets,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-038,Page /portal/login,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-039,Page /portal/reports,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-037,Page /portal/deliveries,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-041,Page /requests,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-040,Page /portal/work,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-018,Page /crm/deals/:id,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-043,Page /sales,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-044,Page /sales/:id,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-046,Page /sales/outreach,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-045,Page /sales/inbound,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-027,Page /forms/:formId,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-042,Page /roles,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-048,Page /settings/connections,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-009,Page /card/:slug,BLOCKED,PARTIAL,HTTP 404,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-028,Page /gate,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-050,Page /time,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-047,Page /settings/asana-migration,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-051,Page /traffic,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-049,Page /talent,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-052,Page /work,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-053,Page /work-schedule,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-055,Page /work/ai/studio,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-054,Page /work/ai,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-057,Page /work/inbox,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-056,Page /work/ai/teammates,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-001,API /api/asana/webhooks/:token,BLOCKED,N/A_TEMPLATE,path template,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-058,Page /work/messages,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-060,Page /work/planning,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-063,Page /workforce-payroll,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-059,Page /work/my-tasks,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-064,Page /workplace,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-062,Page /work/workflows,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-010,Page /clients/:id,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-061,Page /work/search,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-005,API /api/scim/v2/Groups,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-003,API /api/mcp/work,BLOCKED,PARTIAL,HTTP 405,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-009,API /api/scim/v2/Schemas,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-013,API /api/trpc/:trpc,BLOCKED,N/A_TEMPLATE,path template,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-006,API /api/scim/v2/ResourceTypes/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-010,API /api/scim/v2/ServiceProviderConfig,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-016,API /api/work/v1/::path*,BLOCKED,N/A_TEMPLATE,path template,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-031,Page /margin,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-002,API /api/cron/jobs,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-tasks,Page /tasks,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-hunt,Page /crm/hunt,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-chat,Page /chat,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-007,API /api/scim/v2/ResourceTypes,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-notifications,Page /notifications,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-approvals,Page /approvals,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-tickets,Page /tickets,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-004,API /api/scim/v2/Groups/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-settings-ai,Page /settings/ai,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-011,API /api/scim/v2/Users/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-012,API /api/scim/v2/Users,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-014,API /api/webhooks/n8n,BLOCKED,PASS,"HTTP 200 · {""ok"":true,""endpoint"":""/api/webhooks/n8n"",""methods"":[""POST""],""signature"":""X-Hrmny-N8n-Signature or X-N8n-Signature (HMAC-SHA256 or shared se",N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-015,API /api/work/sandbox/environment,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-008,API /api/scim/v2/Schemas/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Creative Hub,CH-001,Creative Hub entry point,HEAD EVIDENCE,PASS,/creative HTTP 200 + nav entry on prod,N,
Creative Hub,CH-002,Tenant/client/brand selection,FAIL,PARTIAL,UI shipped; SSO needed for selection proof,N,
Creative Hub,CH-003,Role access,NOT VERIFIED,BLOCKED,SSO role matrix not exercised,N,
Creative Hub,CH-004,Natural-language request,FAIL,SKIP_LLM,Creative LLM/image path deferred,Y,/creative UI present
Creative Hub,CH-005,Structured creative inputs,FAIL,SKIP_LLM,Creative LLM/image path deferred,Y,/creative UI present
Creative Hub,CH-006,Brief preview and confirmation,FAIL,SKIP_LLM,Creative LLM/image path deferred,Y,/creative UI present
Creative Hub,CH-009,Brand override approval,FAIL,BLOCKED,SSO role matrix not exercised,N,
Creative Hub,CH-010,OAuth connect,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-011,Open/create design,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-012,Edit handoff and return,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-013,Export variants,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-016,Alternate generator,PARTIAL,SKIP_LLM,Creative LLM/image path deferred,Y,/creative UI present
Creative Hub,CH-017,Job creation,FAIL,SKIP_LLM,Creative LLM/image path deferred,Y,/creative UI present
Creative Hub,CH-018,Queue and state machine,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-019,Cost/spend approval,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-020,Timeout/retry/cancel,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-021,Webhook/poll verification,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-022,Output import,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-023,Versioning,PARTIAL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-024,Metadata and provenance,FAIL,SKIP_LLM,Creative LLM/image path deferred,Y,/creative UI present
Creative Hub,CH-025,File safety,NOT VERIFIED,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-026,Task/project linkage,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-027,Automated preflight,PARTIAL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-028,Human creative review,PARTIAL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-029,Portal delivery,PARTIAL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-030,Client approval,PARTIAL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-031,Creative notifications,PARTIAL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-032,Full trace,FAIL,SKIP_LLM,Creative LLM/image path deferred,Y,/creative UI present
Creative Hub,CH-033,Provider data boundary,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-034,Loading/empty/error states,FAIL,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-035,Accessibility/responsive,NOT TESTED,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Creative Hub,CH-036,Pilot concurrency,NOT TESTED,PARTIAL,Non-LLM creative surface; SSO deep test pending,N,
Task Propagation,TP-001,Authorized creator,PARTIAL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-002,Validated input,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-003,Canonical task record,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-004,Project membership,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-005,Creator attribution,PARTIAL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-006,Ahmad assignee,PARTIAL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-007,Supervisor relation,FAIL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-008,Supervisor permissions,FAIL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-009,My Tasks,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-010,Project board,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-011,Company all tasks,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-012,No data duplication,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-013,Assignee notification,PARTIAL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-014,Supervisor notification,FAIL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-015,Creator/follower policy,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-016,Inbox state,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-017,Optional email/chat,NOT VERIFIED,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-018,Atomic update propagation,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-019,Reassignment,PARTIAL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-020,Completion,PARTIAL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-021,Comments and mentions,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-022,Attachments,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-023,Transaction rollback,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-024,Double-click/network retry,FAIL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-025,Concurrent edits,FAIL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-026,Tenant/project isolation,PARTIAL,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-027,All create controls work,PARTIAL,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-028,Loading/empty/error/404,NOT TESTED,PARTIAL,/tasks+/work live; CRM tasks postgres (crm.health); click-path SSO pending,N,
Task Propagation,TP-029,Mulham -> Ahmad + supervisor,BLOCKED,BLOCKED,Requires SSO multi-user journey,N,
Task Propagation,TP-030,Reassign and complete,BLOCKED,BLOCKED,Requires SSO multi-user journey,N,
RAG & Learning,RAG-001,Vector extension,PARTIAL,PARTIAL,pgvector=True on prod; embedding/LLM tests skipped,Y,
RAG & Learning,RAG-002,Memory schema,PARTIAL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-003,Source registry,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-004,Task/comment ingestion,PARTIAL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-005,Asset/document ingestion,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-006,Research ingestion,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-007,Chunking,PARTIAL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-008,Deduplication,NOT VERIFIED,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-009,Update/version,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-010,Delete/tombstone,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-011,Approved provider,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-012,Model/version registry,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-013,Failure and retry,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-014,Tenant isolation,PARTIAL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-015,Source ACL propagation,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-016,Sensitive HR/finance exclusion,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-017,Hybrid search/ranking,PARTIAL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-018,Citations,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-019,Freshness,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-020,Abstention,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-021,Prompt injection defense,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-022,Tool/action boundary,PARTIAL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-023,Feedback capture,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-024,No silent self-training,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-025,Versioned proposals,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-026,No employee AI scoring,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-027,Golden dataset,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-028,No-leakage tests,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-029,Quality thresholds,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-030,Observability,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-031,Backup/restore,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-032,Cost control,FAIL,SKIP_LLM,RAG/LLM testing deferred by request,Y,
RAG & Learning,RAG-033,Production RAG test,BLOCKED,SKIP_LLM,RAG/LLM testing deferred by request,Y,
UI Controls,UI-001,Automated control inventory,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-002,Primary navigation,NOT VERIFIED,PASS_ROUTE_AUTH_GATED,Staff nav routes HTTP 200 on prod (Hunt/Tasks/Chat/Support…),N,
UI Controls,UI-003,Login/logout/session,NOT VERIFIED,PARTIAL,Supabase authMode; anon session API 200; full OAuth click-path needs human,N,
UI Controls,UI-004,Search,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-005,Notifications,NOT VERIFIED,PASS_ROUTE_AUTH_GATED,/notifications live; marker Notifications=True; SSO for bell interactions,N,
UI Controls,UI-006,Feature flags,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-007,Create,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-008,Edit/save/cancel,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-009,Archive/delete/restore,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-010,Bulk actions,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-011,Filter/sort/pagination,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-012,Export,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-013,Date/time/timezone,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-014,People/client selectors,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-015,File upload/download,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-016,Open/close/focus,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-017,Row/card deep links,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-018,Create task,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-019,Task drag/drop,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-020,Task complete/reopen,NOT VERIFIED,PASS_ROUTE_AUTH_GATED,/notifications live; marker Notifications=True; SSO for bell interactions,N,
UI Controls,UI-021,Follow/unfollow/mention,NOT VERIFIED,PASS_ROUTE_AUTH_GATED,/notifications live; marker Notifications=True; SSO for bell interactions,N,
UI Controls,UI-022,Approval controls,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-023,Submit prompt,NOT VERIFIED,SKIP_LLM,LLM UI control deferred,Y,
UI Controls,UI-024,Connect/disconnect Canva,NOT VERIFIED,PARTIAL,Supabase authMode; anon session API 200; full OAuth click-path needs human,N,
UI Controls,UI-025,Generate/cancel/retry,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-026,Import/preview/download,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-027,QC/client delivery,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
UI Controls,UI-028,Lead/contact/company/deal actions,NOT VERIFIED,BLOCKED,Control-level SSO browser proof not available to agent,N,
