Section,Item ID,Item,Previous status,Live verdict 2026-08-21,Evidence,LLM excluded?,Notes
Routes & APIs,PAGE-035,Page /portal,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-006,Page /assets,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-038,Page /portal/login,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-039,Page /portal/reports,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-037,Page /portal/deliveries,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-041,Page /requests,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-040,Page /portal/work,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-018,Page /crm/deals/:id,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-043,Page /sales,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-044,Page /sales/:id,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-046,Page /sales/outreach,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-045,Page /sales/inbound,BLOCKED,SUPERSEDED,superseded by /crm*,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-027,Page /forms/:formId,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-042,Page /roles,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-048,Page /settings/connections,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-009,Page /card/:slug,BLOCKED,PARTIAL,HTTP 404,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-028,Page /gate,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-050,Page /time,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-047,Page /settings/asana-migration,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-051,Page /traffic,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-049,Page /talent,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-052,Page /work,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-053,Page /work-schedule,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-055,Page /work/ai/studio,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-054,Page /work/ai,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-057,Page /work/inbox,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-056,Page /work/ai/teammates,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-001,API /api/asana/webhooks/:token,BLOCKED,N/A_TEMPLATE,path template,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-058,Page /work/messages,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-060,Page /work/planning,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-063,Page /workforce-payroll,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-059,Page /work/my-tasks,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-064,Page /workplace,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-062,Page /work/workflows,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-010,Page /clients/:id,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-061,Page /work/search,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-005,API /api/scim/v2/Groups,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-003,API /api/mcp/work,BLOCKED,PARTIAL,HTTP 405,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-009,API /api/scim/v2/Schemas,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-013,API /api/trpc/:trpc,BLOCKED,N/A_TEMPLATE,path template,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-006,API /api/scim/v2/ResourceTypes/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-010,API /api/scim/v2/ServiceProviderConfig,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-016,API /api/work/v1/::path*,BLOCKED,N/A_TEMPLATE,path template,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-031,Page /margin,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-002,API /api/cron/jobs,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-tasks,Page /tasks,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-hunt,Page /crm/hunt,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-chat,Page /chat,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-007,API /api/scim/v2/ResourceTypes,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-notifications,Page /notifications,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-approvals,Page /approvals,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-tickets,Page /tickets,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-004,API /api/scim/v2/Groups/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-NEW-settings-ai,Page /settings/ai,,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-011,API /api/scim/v2/Users/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-012,API /api/scim/v2/Users,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-014,API /api/webhooks/n8n,BLOCKED,PASS,"HTTP 200 · {""ok"":true,""endpoint"":""/api/webhooks/n8n"",""methods"":[""POST""],""signature"":""X-Hrmny-N8n-Signature or X-N8n-Signature (HMAC-SHA256 or shared se",N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-015,API /api/work/sandbox/environment,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,API-008,API /api/scim/v2/Schemas/:id,BLOCKED,PASS,HTTP 401 protected as expected,N,Auth-gated pages count as live if 200 shell or 401 API
Master Features,core.home,Core: Home,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,crm.workspace,CRM: CRM,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,delivery.workspace,Delivery: Delivery,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,finance.workspace,Finance: Finance,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.core_hr,People: Core HR,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.leave_attendance,People: Leave & attendance,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.talent,People: Talent,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.payroll,People: Payroll,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.shifts_timesheets,People: Shifts & timesheets,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.workplace,People: Workplace,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.benefits,People: Benefits,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,people.digital_cards,People: Digital cards,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,requests.feature_intake,Core: Feature requests,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,support.tickets,Core: Support tickets,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app) · bundle/route evidence,N,
Master Features,analytics.dashboards,Analytics: Dashboards,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,ai.custom_apps,AI: AI custom apps,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,automation.n8n,Automation: Automation,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,portal.client,Portal: Client portal,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,integrations.connections,Admin & Security: Connections,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,admin.roles,Admin & Security: Roles & permissions,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,admin.audit,Admin & Security: Audit log,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,admin.feature_lab,Admin & Security: Feature Lab,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.projects,Work management: Projects,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.tasks,Work management: Tasks,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.subtasks,Work management: Subtasks,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.subtasks.view_controls,Core work: Subtask view controls,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.assignees,Work management: Task assignees,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.sections,Work management: Sections & columns,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.dates,"Work management: Start dates, due dates & times",AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.dependencies,Work management: Dependencies,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.comments,Communication: Comments & mentions,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.followers,Communication: Task followers,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.custom_fields,Work management: Custom fields,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.custom_task_types,Work management: Custom task types & statuses,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.tags,Work management: Tags,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.multi_home,Work management: Multi-home tasks,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build · bundle/route evidence,N,
Master Features,work.recurring_tasks,Work management: Recurring tasks,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.attachments,Communication: Attachments,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.likes,Communication: Likes,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.proofing,Communication: Proofing,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.project_messages,Communication: Project & team messages,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.team_message_permissions,Communication: Team message send permissions,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.rich_text,Communication: Rich text,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.forms,Workflows: Forms,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.forms.public,Workflows: Public forms,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.forms.email_receipts,Workflows: Form email receipts,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.rules,Workflows: Rules,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.rules.ownership_transfer,Workflows: Rule ownership transfer,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.rules.scheduled,Workflows: Scheduled rules,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.rules.collaborator_trigger,Workflows: Collaborator-added rules,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.rules.external_actions,Workflows: External rule actions,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.templates,Workflows: Project & task templates,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.templates.roles,Workflows: Project template roles,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.bundles,Workflows: Bundles,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.approvals,Workflows: Approvals,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build · bundle/route evidence,N,
Master Features,work.milestones,Work management: Milestones,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.time_tracking,Resource management: Time tracking,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.time_tracking.entry_editing,Resource management: Edit time entries,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.views.list,Views: List view,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.views.board,Views: Board view,AVAILABLE,PASS_CATALOGUE,Catalogue AVAILABLE; related surfaces on prod (https://hrmny-os.vercel.app),N,
Master Features,work.views.calendar,Views: Calendar view,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.views.calendar.week,Views: Weekly calendar view,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.views.timeline,Views: Timeline view,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.views.gantt,Views: Gantt view,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.views.files,Views: Files view,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.my_tasks,Personal productivity: My tasks,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.my_tasks.sections,Personal productivity: My Tasks sections,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.my_tasks.focus,Personal productivity: My Tasks focus,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.my_tasks.quick_add,Personal productivity: My Tasks quick add,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.inbox,Personal productivity: Inbox,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.inbox.message_status_filters,Personal productivity: Message & status Inbox filters,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.search,Personal productivity: Search,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.saved_searches,Personal productivity: Saved searches,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.out_of_office,Personal productivity: Out of office,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.accessibility,Personal productivity: Accessibility preferences,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.mobile_pwa,Personal productivity: Mobile & installable app,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.goals,Goals & reporting: Goals,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.portfolios,Goals & reporting: Portfolios,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.status_updates,Goals & reporting: Status updates,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.status_update_templates,Goals & reporting: Status update templates,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.reporting_dashboards,Goals & reporting: Reporting dashboards,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.workload,Resource management: Workload,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.capacity_planning,Resource management: Capacity planning,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.budgets,Resource management: Budgets & cost fields,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.teams,Admin & Security: Teams,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.guests,Admin & Security: Guests,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.view_only,Admin & Security: View-only access,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.object_permissions,Admin & Security: Project & object permissions,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.custom_rbac,Admin & Security: Custom RBAC,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.admin_console,Admin & Security: Organization admin console,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.sso_scim,Admin & Security: SSO & SCIM,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.audit_export,Admin & Security: Audit log & SIEM export,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.domain_controls,Admin & Security: Domain-wide defaults,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.sandboxes,Admin & Security: Sandboxes,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.data_export,"Admin & Security: Import, export & backup",BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,asana.connection,Integrations: Asana connection,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,asana.import,Integrations: Asana import,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,asana.sync,Integrations: Asana incremental sync,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.integrations.files,Integrations: Cloud file integrations,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.integrations.communication,Integrations: Communication integrations,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.integrations.enterprise,Integrations: Enterprise integrations,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.integrations.files.google_drive,Integrations: Google Drive connection,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
Master Features,work.integrations.files.one_drive,Integrations: OneDrive connection,BETA,PASS_CATALOGUE_BETA,Catalogue BETA on prod build,N,
